"ind_id";"year";"orgnr";"var";"denominator"
"hjerteinfarkt_dg";2015;974633752;439;720
"hjerteinfarkt_dg";2015;974795930;65;72
"hjerteinfarkt_dg";2015;974631385;141;152
"hjerteinfarkt_dg";2015;974631776;119;157
"hjerteinfarkt_dg";2015;974733013;163;179
"hjerteinfarkt_dg";2015;974746948;97;128
"hjerteinfarkt_dg";2015;974754118;232;264
"hjerteinfarkt_dg";2015;874632562;221;245
"hjerteinfarkt_dg";2015;974795558;72;77
"hjerteinfarkt_dg";2015;974726807;1;1
"hjerteinfarkt_dg";2015;974207532;233;348
"hjerteinfarkt_dg";2015;974745089;74;77
"hjerteinfarkt_dg";2015;974795515;107;115
"hjerteinfarkt_dg";2015;974745569;182;190
"hjerteinfarkt_dg";2015;974795485;55;60
"hjerteinfarkt_dg";2015;974753898;144;189
"hjerteinfarkt_dg";2015;974795396;40;54
"hjerteinfarkt_dg";2015;974745364;70;71
"hjerteinfarkt_dg";2015;974633159;140;152
"hjerteinfarkt_dg";2015;974743086;7;40
"hjerteinfarkt_dg";2015;974329506;170;181
"hjerteinfarkt_dg";2015;874716782;759;782
"hjerteinfarkt_dg";2015;974631407;229;249
"hjerteinfarkt_dg";2015;974798379;0;3
"hjerteinfarkt_dg";2015;974795477;84;88
"hjerteinfarkt_dg";2015;974633191;319;350
"hjerteinfarkt_dg";2015;974749025;734;773
"hjerteinfarkt_dg";2015;974703300;1020;1074
"hjerteinfarkt_dg";2015;974742985;136;156
"hjerteinfarkt_dg";2015;974795787;518;529
"hjerteinfarkt_dg";2015;974725215;51;55
"hjerteinfarkt_dg";2015;974633574;434;493
"hjerteinfarkt_dg";2015;974589095;1087;1181
"hjerteinfarkt_dg";2015;974795574;83;85
"hjerteinfarkt_dg";2015;974747545;121;131
"hjerteinfarkt_dg";2015;974743272;69;76
"hjerteinfarkt_dg";2015;974747138;371;390
"hjerteinfarkt_dg";2016;974706490;863;959
"hjerteinfarkt_dg";2016;974631091;301;324
"hjerteinfarkt_dg";2016;974795361;267;300
"hjerteinfarkt_dg";2016;974705788;212;294
"hjerteinfarkt_dg";2016;974116804;266;283
"hjerteinfarkt_dg";2016;974631326;330;403
"hjerteinfarkt_dg";2016;974631768;124;146
"hjerteinfarkt_dg";2016;973144383;92;103
"hjerteinfarkt_dg";2016;974595214;68;73
"hjerteinfarkt_dg";2016;974744570;105;115
"hjerteinfarkt_dg";2016;974632535;230;242
"hjerteinfarkt_dg";2016;974724960;207;244
"hjerteinfarkt_dg";2016;974795833;185;189
"hjerteinfarkt_dg";2016;983658725;253;272
"hjerteinfarkt_dg";2016;974795639;65;67
"hjerteinfarkt_dg";2016;974724774;235;276
"hjerteinfarkt_dg";2016;974557746;834;897
"hjerteinfarkt_dg";2016;974633752;229;545
"hjerteinfarkt_dg";2016;974795930;74;75
"hjerteinfarkt_dg";2016;974631385;128;145
"hjerteinfarkt_dg";2016;974631776;147;189
"hjerteinfarkt_dg";2016;974733013;192;206
"hjerteinfarkt_dg";2016;974746948;99;119
"hjerteinfarkt_dg";2016;974754118;233;248
"hjerteinfarkt_dg";2016;874632562;227;247
"hjerteinfarkt_dg";2016;974795558;93;106
"hjerteinfarkt_dg";2016;974726807;1;1
"hjerteinfarkt_dg";2016;974207532;246;289
"hjerteinfarkt_dg";2016;974745089;43;45
"hjerteinfarkt_dg";2016;974795515;111;116
"hjerteinfarkt_dg";2016;974745569;177;184
"hjerteinfarkt_dg";2016;974795485;65;68
"hjerteinfarkt_dg";2016;974753898;160;178
"hjerteinfarkt_dg";2016;974795396;55;57
"hjerteinfarkt_dg";2016;974745364;64;67
"hjerteinfarkt_dg";2016;974633159;104;104
"hjerteinfarkt_dg";2016;974743086;82;96
"hjerteinfarkt_dg";2016;974329506;165;179
"hjerteinfarkt_dg";2016;874716782;797;830
"hjerteinfarkt_dg";2016;974631407;213;227
"hjerteinfarkt_dg";2016;974795477;86;90
"hjerteinfarkt_dg";2016;974633191;336;373
"hjerteinfarkt_dg";2016;974749025;707;752
"hjerteinfarkt_dg";2016;974703300;1025;1057
"hjerteinfarkt_dg";2016;974742985;109;128
"hjerteinfarkt_dg";2016;974795787;545;568
"hjerteinfarkt_dg";2016;974725215;76;86
"hjerteinfarkt_dg";2016;974633574;394;463
"hjerteinfarkt_dg";2016;974589095;1113;1197
"hjerteinfarkt_dg";2016;974795574;95;114
"hjerteinfarkt_dg";2016;974747545;126;134
"hjerteinfarkt_dg";2016;974743272;86;91
"hjerteinfarkt_dg";2016;974747138;243;273
"hjerteinfarkt_dg";2017;974706490;873;915
"hjerteinfarkt_dg";2017;974631091;331;361
"hjerteinfarkt_dg";2017;974795361;228;254
"hjerteinfarkt_dg";2017;974705788;191;281
"hjerteinfarkt_dg";2017;974116804;209;236
"hjerteinfarkt_dg";2017;974631326;313;386
"hjerteinfarkt_dg";2017;974631768;157;184
"hjerteinfarkt_dg";2017;973144383;57;75
"hjerteinfarkt_dg";2017;974595214;72;93
"hjerteinfarkt_dg";2017;974744570;116;133
"hjerteinfarkt_dg";2017;974632535;217;243
"hjerteinfarkt_dg";2017;974724960;168;182
"hjerteinfarkt_dg";2017;974795833;149;149
"hjerteinfarkt_dg";2017;983658725;240;261
"hjerteinfarkt_dg";2017;974795639;90;93
"hjerteinfarkt_dg";2017;974724774;245;285
"hjerteinfarkt_dg";2017;974557746;730;819
"hjerteinfarkt_dg";2017;974633752;353;666
"hjerteinfarkt_dg";2017;974795930;67;67
"hjerteinfarkt_dg";2017;974631385;167;180
"hjerteinfarkt_dg";2017;974631776;132;171
"hjerteinfarkt_dg";2017;974733013;163;201
"hjerteinfarkt_dg";2017;974746948;84;105
"hjerteinfarkt_dg";2017;974754118;210;222
"hjerteinfarkt_dg";2017;874632562;175;204
"hjerteinfarkt_dg";2017;974795558;73;87
"hjerteinfarkt_dg";2017;974726807;1;1
"hjerteinfarkt_dg";2017;974207532;255;284
"hjerteinfarkt_dg";2017;974745089;52;53
"hjerteinfarkt_dg";2017;974795515;63;63
"hjerteinfarkt_dg";2017;974745569;179;195
"hjerteinfarkt_dg";2017;974795485;52;52
"hjerteinfarkt_dg";2017;974753898;151;178
"hjerteinfarkt_dg";2017;974795396;86;100
"hjerteinfarkt_dg";2017;974745364;66;69
"hjerteinfarkt_dg";2017;974633159;106;123
"hjerteinfarkt_dg";2017;974743086;32;39
"hjerteinfarkt_dg";2017;974329506;175;188
"hjerteinfarkt_dg";2017;874716782;707;762
"hjerteinfarkt_dg";2017;974631407;184;204
"hjerteinfarkt_dg";2017;974795477;89;89
"hjerteinfarkt_dg";2017;974633191;282;315
"hjerteinfarkt_dg";2017;974749025;757;811
"hjerteinfarkt_dg";2017;974703300;1059;1142
"hjerteinfarkt_dg";2017;974742985;112;147
"hjerteinfarkt_dg";2017;974795787;508;528
"hjerteinfarkt_dg";2017;974725215;70;76
"hjerteinfarkt_dg";2017;974633574;370;426
"hjerteinfarkt_dg";2017;974589095;1045;1220
"hjerteinfarkt_dg";2017;974795574;94;106
"hjerteinfarkt_dg";2017;974747545;95;108
"hjerteinfarkt_dg";2017;974743272;82;109
"hjerteinfarkt_dg";2017;974747138;228;251
